"Trial","Treatment","Replicate","Row","Range","Trial_Mean","row_var","range_var","trt_trl_mean","success","baseline","harvest"
"Location 1","Control","5","5","4",-2.02267417458564,0.155348014552146,0.139681621920317,-1.98236803600157,0.153646171465516,-0.65,-0.44
"Location 1","Treatment a","5","5","8",-2.02267417458564,0.155348014552146,0.139681621920317,-2.04264911553451,0.168839643523097,-0.1,0.11
"Location 1","Treatment b","5","5","10",-2.02267417458564,0.155348014552146,0.139681621920317,-1.97799605565932,-0.120331144705415,0.18,0.39
"Location 1","Treatment c","5","5","9",-2.02267417458564,0.155348014552146,0.139681621920317,-2.062674148372,-0.12276414418593,0.04,0.25
"Location 1","Treatment d","5","5","3",-2.02267417458564,0.155348014552146,0.139681621920317,-1.97866327525804,-0.116953493095934,-0.79,-0.58
"Location 1","Treatment e","5","5","2",-2.02267417458564,0.155348014552146,0.139681621920317,-2.13474795904841,-0.0981881252489984,-0.93,-0.72
"Location 1","Treatment f","5","5","5",-2.02267417458564,0.155348014552146,0.139681621920317,-1.95721287107518,0.123441618587822,-0.52,-0.31
"Location 1","Treatment g","5","5","1",-2.02267417458564,0.155348014552146,0.139681621920317,-2.02846128244846,0.1136972758919,-1.07,-0.86
"Location 1","Treatment h","5","5","7",-2.02267417458564,0.155348014552146,0.139681621920317,-2.05509341712024,-0.157050518784672,-0.24,-0.03
"Location 1","Treatment i","5","5","6",-2.02267417458564,0.155348014552146,0.139681621920317,-2.02811666225132,0.0712402919307351,-0.38,-0.17
"Location 1","Control","4","4","8",-2.02267417458564,0.155348014552146,0.139681621920317,-1.98236803600157,0.153646171465516,-0.25,-0.04
"Location 1","Treatment a","4","4","1",-2.02267417458564,0.155348014552146,0.139681621920317,-2.04264911553451,0.168839643523097,-1.23,-1.02
"Location 1","Treatment b","4","4","10",-2.02267417458564,0.155348014552146,0.139681621920317,-1.97799605565932,-0.120331144705415,0.03,0.24
"Location 1","Treatment c","4","4","2",-2.02267417458564,0.155348014552146,0.139681621920317,-2.062674148372,-0.12276414418593,-1.09,-0.88
"Location 1","Treatment d","4","4","3",-2.02267417458564,0.155348014552146,0.139681621920317,-1.97866327525804,-0.116953493095934,-0.95,-0.74
"Location 1","Treatment e","4","4","9",-2.02267417458564,0.155348014552146,0.139681621920317,-2.13474795904841,-0.0981881252489984,-0.11,0.1
"Location 1","Treatment f","4","4","5",-2.02267417458564,0.155348014552146,0.139681621920317,-1.95721287107518,0.123441618587822,-0.67,-0.46
"Location 1","Treatment g","4","4","4",-2.02267417458564,0.155348014552146,0.139681621920317,-2.02846128244846,0.1136972758919,-0.81,-0.6
"Location 1","Treatment h","4","4","7",-2.02267417458564,0.155348014552146,0.139681621920317,-2.05509341712024,-0.157050518784672,-0.39,-0.18
"Location 1","Treatment i","4","4","6",-2.02267417458564,0.155348014552146,0.139681621920317,-2.02811666225132,0.0712402919307351,-0.53,-0.32
"Location 1","Control","3","3","5",-2.02267417458564,0.155348014552146,0.139681621920317,-1.98236803600157,0.153646171465516,-0.83,-0.62
"Location 1","Treatment a","3","3","7",-2.02267417458564,0.155348014552146,0.139681621920317,-2.04264911553451,0.168839643523097,-0.55,-0.34
